modName,chromsome,modStart,modEnd,width,strand,HEK293_abacm,HEK293_sysy,A549,CD8T,HeLa,MOLM13
m6A_00029,chr1,110135149,110135150,1,+,1,1,1,0,1,0
m6A_00030,chr1,110135260,110135261,1,+,1,0,0,0,0,0
m6A_00031,chr1,110135732,110135733,1,+,1,0,0,0,0,0
m6A_00032,chr1,110135791,110135792,1,+,1,0,1,0,1,0
m6A_00033,chr1,110135865,110135866,1,+,1,0,0,0,0,0
m6A_00034,chr1,110280779,110280780,1,-,1,0,0,0,0,0
m6A_00035,chr1,110566202,110566203,1,+,1,0,0,0,0,0
m6A_00036,chr1,11083330,11083331,1,+,1,0,0,0,0,0
m6A_00037,chr1,11083482,11083483,1,+,1,0,1,0,1,0
m6A_00038,chr1,11083491,11083492,1,+,1,0,0,0,0,0
m6A_00039,chr1,11085179,11085180,1,+,1,0,0,0,0,0
m6A_00040,chr1,110880428,110880429,1,-,1,0,0,0,0,0
m6A_00041,chr1,110882611,110882612,1,+,1,0,0,0,0,0
m6A_00042,chr1,110883600,110883601,1,+,1,1,0,0,0,0
m6A_00043,chr1,110884223,110884224,1,+,1,1,1,0,1,0
m6A_00044,chr1,110884539,110884540,1,+,1,0,0,0,0,0
m6A_00045,chr1,110884662,110884663,1,+,1,1,0,0,1,0
m6A_00046,chr1,110886190,110886191,1,+,1,0,0,0,0,0
m6A_00047,chr1,110890301,110890302,1,+,1,0,0,0,0,0
m6A_00048,chr1,11115073,11115074,1,-,1,0,0,0,0,0
m6A_00049,chr1,11116764,11116765,1,-,1,0,0,0,0,0
m6A_00050,chr1,11126764,11126765,1,-,1,0,0,0,0,0
m6A_00051,chr1,11142783,11142784,1,-,1,0,0,0,0,0
m6A_00052,chr1,11167235,11167236,1,-,1,0,0,0,0,0
m6A_00053,chr1,111690515,111690516,1,+,1,0,0,0,1,0
m6A_00054,chr1,111957795,111957796,1,-,1,0,0,0,0,0
m6A_00055,chr1,111983317,111983318,1,-,1,0,0,0,0,0
m6A_00056,chr1,112308699,112308700,1,+,1,0,0,0,0,0
m6A_00057,chr1,112308842,112308843,1,+,1,0,0,1,1,0
m6A_00058,chr1,112309549,112309550,1,+,1,1,0,0,1,0
m6A_00059,chr1,112309627,112309628,1,+,1,0,0,0,1,0
m6A_00060,chr1,112309657,112309658,1,+,1,0,0,1,1,0
m6A_00061,chr1,11339242,11339243,1,-,1,0,0,0,0,0
m6A_00062,chr1,113454755,113454756,1,-,1,0,0,0,1,0
m6A_00063,chr1,113456619,113456620,1,-,1,1,0,0,1,0
m6A_00064,chr1,113456677,113456678,1,-,1,1,1,0,1,0
m6A_00065,chr1,113456747,113456748,1,-,1,0,0,0,0,0
m6A_00066,chr1,113459986,113459987,1,-,1,0,0,0,0,0
m6A_00067,chr1,113460266,113460267,1,-,1,1,1,1,1,1
m6A_00068,chr1,113460549,113460550,1,-,1,0,0,0,0,0
m6A_00069,chr1,113460583,113460584,1,-,1,1,0,0,0,0
m6A_00070,chr1,113666776,113666777,1,+,1,0,0,0,0,0
m6A_00071,chr1,114308622,114308623,1,-,1,0,0,0,0,0
m6A_00072,chr1,114308789,114308790,1,-,1,0,0,0,0,1
m6A_00073,chr1,114454136,114454137,1,+,1,1,0,0,0,0
m6A_00074,chr1,114940102,114940103,1,-,1,0,1,1,1,1
m6A_00075,chr1,115078852,115078853,1,+,1,0,0,0,0,0
m6A_00076,chr1,115078975,115078976,1,+,1,0,0,0,0,0
m6A_00077,chr1,115110685,115110686,1,-,1,1,1,1,1,0
m6A_00078,chr1,115110696,115110697,1,-,1,0,1,1,1,0
m6A_00079,chr1,115110836,115110837,1,-,1,0,1,0,1,1
m6A_00080,chr1,1152489,1152490,1,-,1,0,1,1,1,1
m6A_00081,chr1,115259743,115259744,1,-,1,0,0,0,0,0
m6A_00082,chr1,115267915,115267916,1,-,1,0,0,0,0,0
m6A_00083,chr1,115269666,115269667,1,-,1,0,0,0,0,0
m6A_00084,chr1,115277098,115277099,1,-,1,0,0,0,0,0
m6A_00085,chr1,115316891,115316892,1,-,1,0,0,0,1,1
m6A_00086,chr1,115316916,115316917,1,-,1,1,1,1,1,1
m6A_00087,chr1,1167316,1167317,1,-,1,0,0,0,0,0
m6A_00088,chr1,1168672,1168673,1,+,1,0,0,0,0,0
m6A_00089,chr1,116932172,116932173,1,+,1,0,0,0,0,0
m6A_00090,chr1,116932954,116932955,1,+,1,0,0,0,0,0
m6A_00091,chr1,116936174,116936175,1,+,1,0,0,0,0,0
m6A_00092,chr1,116941605,116941606,1,+,1,0,0,0,0,0
m6A_00093,chr1,116941619,116941620,1,+,1,0,0,0,0,0
m6A_00094,chr1,116944177,116944178,1,+,1,0,0,0,0,0
m6A_00095,chr1,116947079,116947080,1,+,1,0,0,0,0,0
m6A_00096,chr1,1169970,1169971,1,+,1,0,0,0,0,0
m6A_00097,chr1,117057386,117057387,1,-,1,0,0,0,0,0
m6A_00098,chr1,117076542,117076543,1,-,1,0,0,0,0,0
m6A_00099,chr1,117492054,117492055,1,+,1,0,0,0,0,0
m6A_00100,chr1,117649390,117649391,1,+,1,0,0,0,0,0
m6A_00101,chr1,117654841,117654842,1,-,1,0,0,0,1,0
m6A_00102,chr1,1190425,1190426,1,-,1,0,0,0,0,0
m6A_00103,chr1,1190512,1190513,1,-,1,0,1,0,0,0
m6A_00104,chr1,119619034,119619035,1,-,1,0,0,0,0,0
m6A_00105,chr1,119761961,119761962,1,-,1,0,0,0,0,0
m6A_00106,chr1,11983347,11983348,1,-,1,0,0,0,0,0
m6A_00107,chr1,120254562,120254563,1,+,1,0,0,0,0,0
m6A_00108,chr1,120263793,120263794,1,+,1,0,0,0,0,0
m6A_00109,chr1,12035203,12035204,1,+,1,0,0,0,1,0
m6A_00110,chr1,12035291,12035292,1,+,1,0,1,0,1,0
m6A_00111,chr1,12035318,12035319,1,+,1,0,1,0,1,0
m6A_00112,chr1,120457554,120457555,1,-,1,0,0,0,0,0
m6A_00113,chr1,120457666,120457667,1,-,1,0,0,0,0,0
m6A_00114,chr1,12071859,12071860,1,+,1,1,1,1,1,1
m6A_00115,chr1,12072680,12072681,1,+,1,0,0,1,1,1
m6A_00116,chr1,12072701,12072702,1,+,1,0,0,0,1,0
m6A_00117,chr1,121129786,121129787,1,+,1,0,0,0,0,0
m6A_00118,chr1,1228558,1228559,1,-,1,0,0,0,0,0
m6A_00119,chr1,1247147,1247148,1,-,1,0,0,0,0,0
m6A_00120,chr1,1248744,1248745,1,+,1,0,0,0,0,0
m6A_00121,chr1,1249164,1249165,1,+,1,0,0,0,0,0
m6A_00122,chr1,1271531,1271532,1,-,1,0,0,0,1,0
m6A_00123,chr1,1309619,1309620,1,-,1,0,0,0,0,0
m6A_00124,chr1,1310159,1310160,1,-,1,0,0,0,0,0
m6A_00125,chr1,1322063,1322064,1,-,1,0,0,0,1,0
m6A_00126,chr1,1322208,1322209,1,-,1,0,0,0,0,0
m6A_00127,chr1,1322251,1322252,1,-,1,0,0,0,1,0
m6A_00128,chr1,1322594,1322595,1,-,1,1,0,0,0,0
m6A_00129,chr1,1326936,1326937,1,-,1,0,0,0,0,0
m6A_00130,chr1,1327918,1327919,1,-,1,0,0,0,0,0
m6A_00131,chr1,1337384,1337385,1,-,1,0,0,0,0,0
m6A_00132,chr1,13942598,13942599,1,+,1,0,0,0,0,0
m6A_00133,chr1,14105983,14105984,1,+,1,0,0,1,0,0
m6A_00134,chr1,14106253,14106254,1,+,1,0,0,1,0,0
m6A_00135,chr1,14107816,14107817,1,+,1,0,0,1,0,0
m6A_00136,chr1,14109042,14109043,1,+,1,0,0,1,0,0
m6A_00137,chr1,1422901,1422902,1,+,1,0,0,0,0,0
m6A_00138,chr1,145368864,145368865,1,+,1,0,0,0,0,0
m6A_00139,chr1,145585586,145585587,1,+,1,0,0,0,0,0
m6A_00140,chr1,146675296,146675297,1,-,1,0,0,0,0,0
m6A_00141,chr1,146766115,146766116,1,+,1,0,0,0,0,0
m6A_00142,chr1,147092388,147092389,1,+,1,0,0,0,1,0
m6A_00143,chr1,1477349,1477350,1,-,1,0,1,0,1,0
m6A_00144,chr1,1480307,1480308,1,-,1,0,0,0,0,0
m6A_00145,chr1,149815222,149815223,1,+,1,0,0,0,0,0
m6A_00146,chr1,149856827,149856828,1,-,1,0,0,0,0,0
m6A_00147,chr1,149857342,149857343,1,-,1,0,0,0,0,0
m6A_00148,chr1,149858202,149858203,1,-,1,0,0,0,0,0
m6A_00149,chr1,149871973,149871974,1,+,1,0,0,0,1,0
m6A_00150,chr1,149915854,149915855,1,-,1,0,0,1,0,0
m6A_00151,chr1,1500154,1500155,1,-,1,0,0,0,1,0
m6A_00152,chr1,1500182,1500183,1,-,1,0,0,0,0,0
m6A_00153,chr1,150131629,150131630,1,+,1,0,0,1,0,1
m6A_00154,chr1,150131751,150131752,1,+,1,0,0,0,0,1
m6A_00155,chr1,150238925,150238926,1,-,1,1,1,0,1,0
m6A_00156,chr1,150280727,150280728,1,+,1,0,0,0,0,0
m6A_00157,chr1,150305481,150305482,1,+,1,0,0,0,0,0
m6A_00158,chr1,150443642,150443643,1,+,1,0,0,0,1,1
m6A_00159,chr1,150444245,150444246,1,+,1,0,0,0,0,0
m6A_00160,chr1,150479679,150479680,1,+,1,0,1,1,1,0
m6A_00161,chr1,150547875,150547876,1,-,1,0,0,0,0,0
m6A_00162,chr1,150548154,150548155,1,-,1,0,0,0,0,0
m6A_00163,chr1,150548589,150548590,1,-,1,0,0,0,0,1
m6A_00164,chr1,150551422,150551423,1,-,1,1,0,1,1,1
m6A_00165,chr1,150551973,150551974,1,-,1,1,0,1,1,0
m6A_00166,chr1,150594658,150594659,1,-,1,0,1,1,1,0
m6A_00167,chr1,150923541,150923542,1,+,1,0,0,0,0,0
m6A_00168,chr1,150933553,150933554,1,+,1,0,1,0,0,1
m6A_00169,chr1,150940941,150940942,1,-,1,0,0,0,0,0
m6A_00170,chr1,151104572,151104573,1,-,1,0,0,0,0,0
m6A_00171,chr1,151141556,151141557,1,+,1,0,0,0,0,0
m6A_00172,chr1,151149294,151149295,1,-,1,0,0,0,0,0
m6A_00173,chr1,151220680,151220681,1,+,1,1,1,1,1,0
m6A_00174,chr1,151220722,151220723,1,+,1,1,0,0,0,0
m6A_00175,chr1,151234675,151234676,1,+,1,0,0,0,0,0
m6A_00176,chr1,151237380,151237381,1,+,1,0,0,0,0,0
m6A_00177,chr1,151257741,151257742,1,+,1,0,0,0,0,0
m6A_00178,chr1,151260601,151260602,1,+,1,0,0,0,0,1
m6A_00179,chr1,151260817,151260818,1,+,1,0,0,0,0,0
m6A_00180,chr1,151265259,151265260,1,-,1,0,0,0,0,0
m6A_00181,chr1,151266993,151266994,1,-,1,0,0,0,0,0
m6A_00182,chr1,151288257,151288258,1,-,1,0,0,0,0,1
m6A_00183,chr1,151288292,151288293,1,-,1,0,0,0,1,0
m6A_00184,chr1,151288439,151288440,1,-,1,0,1,1,1,0
m6A_00185,chr1,151288546,151288547,1,-,1,1,1,0,0,0
m6A_00186,chr1,151314621,151314622,1,-,1,0,0,0,0,0
m6A_00187,chr1,151372092,151372093,1,+,1,0,0,0,0,1
m6A_00188,chr1,151372469,151372470,1,+,1,0,0,0,0,0
m6A_00189,chr1,151372563,151372564,1,+,1,0,0,0,0,0
m6A_00190,chr1,151372595,151372596,1,+,1,0,0,0,0,0
m6A_00191,chr1,151374340,151374341,1,+,1,0,0,0,0,0
m6A_00192,chr1,151374375,151374376,1,+,1,0,0,0,0,0
m6A_00193,chr1,151376744,151376745,1,-,1,0,0,0,0,0
m6A_00194,chr1,151377569,151377570,1,-,1,0,0,0,0,0
m6A_00195,chr1,151377824,151377825,1,-,1,0,0,0,0,0
m6A_00196,chr1,151378163,151378164,1,-,1,0,0,1,0,1
m6A_00197,chr1,151378420,151378421,1,-,1,0,0,0,0,0
m6A_00198,chr1,151378528,151378529,1,-,1,0,0,0,0,0
m6A_00199,chr1,151491506,151491507,1,+,1,0,0,0,0,0
m6A_00200,chr1,151732166,151732167,1,-,1,0,0,0,1,1
m6A_00201,chr1,151735824,151735825,1,-,1,0,0,0,0,0
m6A_00202,chr1,151846776,151846777,1,-,1,0,0,1,1,0
m6A_00203,chr1,151955530,151955531,1,-,1,0,0,0,0,1
m6A_00204,chr1,1533632,1533633,1,-,1,0,0,0,0,0
m6A_00205,chr1,153617684,153617685,1,+,1,0,0,0,1,1
m6A_00206,chr1,153617721,153617722,1,+,1,0,0,0,1,0
m6A_00207,chr1,153617769,153617770,1,+,1,0,1,1,1,0
m6A_00208,chr1,153617843,153617844,1,+,1,1,0,0,1,1
m6A_00209,chr1,153617864,153617865,1,+,1,0,0,0,1,1
m6A_00210,chr1,153633792,153633793,1,+,1,0,1,1,1,0
m6A_00211,chr1,153633982,153633983,1,+,1,0,0,0,0,0
m6A_00212,chr1,153634600,153634601,1,-,1,0,0,0,0,0
m6A_00213,chr1,153634652,153634653,1,-,1,0,0,0,0,0
m6A_00214,chr1,153634749,153634750,1,-,1,0,0,0,0,0
m6A_00215,chr1,153634790,153634791,1,-,1,1,1,1,1,1
m6A_00216,chr1,153642338,153642339,1,-,1,0,0,0,0,0
m6A_00217,chr1,153724828,153724829,1,+,1,0,0,0,0,0
m6A_00218,chr1,153903244,153903245,1,-,1,0,0,0,0,0
m6A_00219,chr1,153920499,153920500,1,-,1,0,0,0,0,0
m6A_00220,chr1,153920504,153920505,1,-,1,0,0,1,1,1
m6A_00221,chr1,153947090,153947091,1,-,1,1,0,0,1,0
m6A_00222,chr1,153947151,153947152,1,-,1,0,0,0,0,0
m6A_00223,chr1,153950136,153950137,1,-,1,0,1,0,1,0
m6A_00224,chr1,154129407,154129408,1,-,1,0,0,0,0,0
m6A_00225,chr1,154179719,154179720,1,-,1,0,0,0,1,0
m6A_00226,chr1,154179824,154179825,1,-,1,0,1,0,0,1
m6A_00227,chr1,154179915,154179916,1,-,1,1,1,1,1,0
m6A_00228,chr1,154179950,154179951,1,-,1,0,1,0,1,0
m6A_00229,chr1,154184745,154184746,1,-,1,0,0,0,1,0
m6A_00230,chr1,154184993,154184994,1,-,1,0,0,0,0,0
m6A_00231,chr1,154209536,154209537,1,+,1,0,0,0,0,0
m6A_00232,chr1,154241284,154241285,1,+,1,0,0,0,0,0
m6A_00233,chr1,154522601,154522602,1,-,1,0,0,0,0,0
m6A_00234,chr1,154522711,154522712,1,-,1,1,1,0,1,1
m6A_00235,chr1,154522730,154522731,1,-,1,0,1,1,1,1
m6A_00236,chr1,154557268,154557269,1,-,1,0,0,0,1,0
m6A_00237,chr1,154557303,154557304,1,-,1,1,1,1,1,0
m6A_00238,chr1,154574082,154574083,1,-,1,0,0,0,1,1
m6A_00239,chr1,154931788,154931789,1,-,1,1,0,0,0,0
m6A_00240,chr1,154931993,154931994,1,-,1,1,1,0,1,0
m6A_00241,chr1,154960766,154960767,1,+,1,0,0,0,0,0
m6A_00242,chr1,155035181,155035182,1,+,1,0,0,0,0,0
m6A_00243,chr1,155217355,155217356,1,-,1,0,1,0,1,0
m6A_00244,chr1,155230349,155230350,1,-,1,0,0,0,0,0
m6A_00245,chr1,155290327,155290328,1,+,1,1,0,0,0,1
m6A_00246,chr1,155533391,155533392,1,+,1,0,0,0,0,0
m6A_00247,chr1,155584294,155584295,1,+,1,0,0,0,0,0
m6A_00248,chr1,155708157,155708158,1,+,1,0,0,1,1,1
m6A_00249,chr1,155735140,155735141,1,-,1,0,0,0,0,0
m6A_00250,chr1,155823166,155823167,1,-,1,0,0,0,0,0
m6A_00251,chr1,155823168,155823169,1,-,1,0,0,0,1,0
m6A_00252,chr1,155870149,155870150,1,-,1,0,0,1,0,0
m6A_00253,chr1,155882956,155882957,1,-,1,0,0,0,0,0
m6A_00254,chr1,155883091,155883092,1,-,1,0,1,0,1,0
m6A_00255,chr1,155883184,155883185,1,-,1,0,0,0,0,0
m6A_00256,chr1,155883194,155883195,1,-,1,0,0,0,0,0
m6A_00257,chr1,155883941,155883942,1,-,1,0,0,0,0,0
m6A_00258,chr1,155978994,155978995,1,-,1,1,1,0,1,1
m6A_00259,chr1,155979334,155979335,1,-,1,0,1,1,1,0
m6A_00260,chr1,155979436,155979437,1,-,1,0,0,0,0,0
m6A_00261,chr1,155989842,155989843,1,-,1,0,0,0,0,0
m6A_00262,chr1,156182240,156182241,1,+,1,0,0,0,0,0
m6A_00263,chr1,156186309,156186310,1,+,1,0,0,0,0,0
m6A_00264,chr1,156209529,156209530,1,+,1,0,0,0,0,0
m6A_00265,chr1,156235945,156235946,1,-,1,0,0,0,1,0
m6A_00266,chr1,156235984,156235985,1,-,1,1,1,0,0,0
m6A_00267,chr1,156278833,156278834,1,-,1,1,0,0,0,0
m6A_00268,chr1,156278908,156278909,1,-,1,0,0,0,0,0
m6A_00269,chr1,156279065,156279066,1,-,1,0,0,0,0,0
m6A_00270,chr1,156280405,156280406,1,-,1,0,0,0,0,0
m6A_00271,chr1,156280452,156280453,1,-,1,0,0,0,0,0
m6A_00272,chr1,156281892,156281893,1,-,1,0,0,0,0,0
m6A_00273,chr1,156286978,156286979,1,-,1,0,0,0,0,0
m6A_00274,chr1,156287245,156287246,1,-,1,0,0,0,0,0
m6A_00275,chr1,156287320,156287321,1,-,1,0,0,0,0,0
m6A_00276,chr1,156303358,156303359,1,-,1,0,0,0,0,0
m6A_00277,chr1,156305670,156305671,1,-,1,0,0,0,0,0
m6A_00278,chr1,156496002,156496003,1,-,1,0,0,0,1,0
m6A_00279,chr1,156564547,156564548,1,-,1,0,1,0,1,0
m6A_00280,chr1,156565080,156565081,1,-,1,0,1,0,1,0
m6A_00281,chr1,156565306,156565307,1,-,1,0,0,0,1,1
m6A_00282,chr1,156697177,156697178,1,-,1,0,1,0,0,0
m6A_00283,chr1,156697336,156697337,1,-,1,0,0,0,0,0
m6A_00284,chr1,156698839,156698840,1,+,1,0,0,0,0,1
m6A_00285,chr1,156707263,156707264,1,-,1,0,0,0,0,0
m6A_00286,chr1,156712301,156712302,1,-,1,0,0,0,0,0
m6A_00287,chr1,156721457,156721458,1,-,1,0,1,0,1,0
m6A_00288,chr1,156756558,156756559,1,+,1,0,0,0,0,0
m6A_00289,chr1,156770323,156770324,1,+,1,0,0,0,0,0
m6A_00290,chr1,156770457,156770458,1,+,1,1,0,0,0,0
m6A_00291,chr1,157095704,157095705,1,-,1,0,0,0,0,0
m6A_00292,chr1,15895462,15895463,1,+,1,0,0,0,0,0
m6A_00293,chr1,1596651,1596652,1,-,1,0,1,0,0,0
m6A_00294,chr1,15986572,15986573,1,+,1,0,1,0,0,0
m6A_00295,chr1,15987589,15987590,1,+,1,0,0,1,1,0
m6A_00296,chr1,159895296,159895297,1,-,1,1,0,0,0,0
m6A_00297,chr1,160000042,160000043,1,-,1,0,0,0,0,0
m6A_00298,chr1,160183211,160183212,1,+,1,0,0,0,0,0
m6A_00299,chr1,160184259,160184260,1,+,1,0,0,0,0,0
m6A_00300,chr1,160187238,160187239,1,-,1,0,0,0,1,0
m6A_00301,chr1,160187254,160187255,1,-,1,0,1,0,1,0
m6A_00302,chr1,160209826,160209827,1,-,1,0,1,0,1,0
m6A_00303,chr1,16053663,16053664,1,+,1,0,0,0,1,1
m6A_00304,chr1,16060754,16060755,1,+,1,0,1,0,1,0
m6A_00305,chr1,161009339,161009340,1,-,1,0,0,0,0,0
m6A_00306,chr1,161009417,161009418,1,-,1,0,0,0,1,1
m6A_00307,chr1,161009709,161009710,1,-,1,0,1,0,1,0
m6A_00308,chr1,161088299,161088300,1,+,1,0,0,1,0,0
m6A_00309,chr1,161090561,161090562,1,+,1,0,0,0,0,0
m6A_00310,chr1,161094075,161094076,1,-,1,0,1,1,1,0
m6A_00311,chr1,161141392,161141393,1,-,1,0,0,0,0,0
m6A_00312,chr1,16119657,16119658,1,+,1,0,0,0,0,0
m6A_00313,chr1,161200181,161200182,1,+,1,0,0,0,1,0
m6A_00314,chr1,161200357,161200358,1,+,1,0,0,0,0,0
m6A_00315,chr1,161333887,161333888,1,+,1,0,0,0,0,0
m6A_00316,chr1,161582579,161582580,1,+,1,0,0,0,0,0
m6A_00317,chr1,161789439,161789440,1,+,1,0,0,0,0,0
m6A_00318,chr1,161928541,161928542,1,+,1,0,0,0,1,0
m6A_00319,chr1,161932639,161932640,1,+,1,0,0,0,0,0
m6A_00320,chr1,16200443,16200444,1,+,1,0,0,0,0,0
m6A_00321,chr1,16200523,16200524,1,+,1,0,0,0,0,0
m6A_00322,chr1,16202780,16202781,1,+,1,0,0,0,0,1
m6A_00323,chr1,162497457,162497458,1,+,1,0,0,0,0,0
m6A_00324,chr1,16255120,16255121,1,+,1,0,0,1,0,0
m6A_00325,chr1,16257185,16257186,1,+,1,0,0,0,0,0
m6A_00326,chr1,16259408,16259409,1,+,1,0,0,0,0,1
m6A_00327,chr1,16261768,16261769,1,+,1,1,1,1,0,0
m6A_00328,chr1,16265981,16265982,1,+,1,0,0,1,0,1
m6A_00329,chr1,16266138,16266139,1,+,1,1,0,0,0,0
m6A_00330,chr1,16266157,16266158,1,+,1,0,0,0,0,0
m6A_00331,chr1,16266165,16266166,1,+,1,0,0,0,0,0
m6A_00332,chr1,16266380,16266381,1,+,1,1,0,0,0,0
m6A_00333,chr1,163325191,163325192,1,+,1,0,0,0,0,0
m6A_00334,chr1,164284809,164284810,1,+,1,0,0,0,0,0
m6A_00335,chr1,16451277,16451278,1,-,1,0,1,0,0,0
m6A_00336,chr1,16577360,16577361,1,-,1,0,0,1,1,1
m6A_00337,chr1,165860478,165860479,1,+,1,0,0,0,0,0
m6A_00338,chr1,165877135,165877136,1,+,1,0,0,0,0,0
m6A_00339,chr1,165877148,165877149,1,+,1,0,0,0,1,1
m6A_00340,chr1,16721756,16721757,1,+,1,0,0,0,0,0
m6A_00341,chr1,16721844,16721845,1,+,1,0,0,0,0,0
m6A_00342,chr1,167385383,167385384,1,+,1,0,0,0,1,1
m6A_00343,chr1,167757199,167757200,1,+,1,0,0,0,0,0
m6A_00344,chr1,16786503,16786504,1,+,1,1,0,0,1,0
m6A_00345,chr1,168154062,168154063,1,+,1,0,0,0,0,0
m6A_00346,chr1,168160656,168160657,1,+,1,0,0,0,0,0
m6A_00347,chr1,168221580,168221581,1,+,1,0,0,0,0,0
m6A_00348,chr1,16826299,16826300,1,+,1,0,0,0,0,0
m6A_00349,chr1,1684163,1684164,1,-,1,0,0,0,0,0
m6A_00350,chr1,1687725,1687726,1,-,1,0,0,0,0,0
m6A_00351,chr1,169391113,169391114,1,-,1,0,0,0,0,0
m6A_00352,chr1,169761885,169761886,1,-,1,0,0,0,0,0
m6A_00353,chr1,171557626,171557627,1,+,1,0,0,0,0,0
m6A_00354,chr1,171561904,171561905,1,+,1,0,0,0,0,1
m6A_00355,chr1,171562441,171562442,1,+,1,0,0,0,0,0
m6A_00356,chr1,171639761,171639762,1,-,1,0,0,0,0,1
m6A_00357,chr1,171639767,171639768,1,-,1,0,0,0,0,0
m6A_00358,chr1,171765651,171765652,1,+,1,0,1,0,1,0
m6A_00359,chr1,1718295,1718296,1,-,1,0,0,0,0,1
m6A_00360,chr1,1718383,1718384,1,-,1,0,0,0,0,0
m6A_00361,chr1,1718405,1718406,1,-,1,0,0,0,0,0
m6A_00362,chr1,1718420,1718421,1,-,1,0,0,0,0,0
m6A_00363,chr1,172411682,172411683,1,-,1,0,0,0,0,0
m6A_00364,chr1,172411811,172411812,1,-,1,0,0,0,1,0
m6A_00365,chr1,173457077,173457078,1,+,1,0,0,0,0,0
m6A_00366,chr1,173457363,173457364,1,+,1,0,0,0,0,0
m6A_00367,chr1,173711110,173711111,1,+,1,0,0,0,0,0
m6A_00368,chr1,173754396,173754397,1,+,1,0,0,0,0,0
m6A_00369,chr1,173772311,173772312,1,-,1,0,0,0,1,0
m6A_00370,chr1,173833073,173833074,1,-,1,0,0,0,0,0
m6A_00371,chr1,174983605,174983606,1,-,1,0,1,1,1,1
m6A_00372,chr1,174983698,174983699,1,-,1,0,0,0,0,0
m6A_00373,chr1,17733883,17733884,1,-,1,0,0,0,0,0
m6A_00374,chr1,17735458,17735459,1,-,1,0,0,0,0,0
m6A_00375,chr1,179064138,179064139,1,+,1,0,0,0,0,0
m6A_00376,chr1,179064455,179064456,1,+,1,1,1,0,1,0
m6A_00377,chr1,179077013,179077014,1,-,1,0,0,0,0,0
m6A_00378,chr1,179814810,179814811,1,-,1,0,0,0,1,0
m6A_00379,chr1,179815296,179815297,1,-,1,1,0,0,0,0
m6A_00380,chr1,179833662,179833663,1,-,1,0,0,0,0,0
m6A_00381,chr1,179834389,179834390,1,-,1,0,0,0,0,0
m6A_00382,chr1,179834422,179834423,1,-,1,0,0,0,1,0
m6A_00383,chr1,179834546,179834547,1,-,1,0,0,0,1,0
m6A_00384,chr1,179834555,179834556,1,-,1,0,0,0,1,0
m6A_00385,chr1,179887285,179887286,1,+,1,0,0,0,1,0
m6A_00386,chr1,179889108,179889109,1,+,1,0,0,0,0,0
m6A_00387,chr1,181058404,181058405,1,+,1,0,0,0,0,0
m6A_00388,chr1,181059138,181059139,1,+,1,1,0,1,0,0
m6A_00389,chr1,181059224,181059225,1,+,1,0,0,0,0,0
m6A_00390,chr1,181059352,181059353,1,+,1,1,1,0,1,0
m6A_00391,chr1,182353654,182353655,1,-,1,0,0,0,0,0
m6A_00392,chr1,182360006,182360007,1,-,1,0,0,0,0,0
m6A_00393,chr1,182568810,182568811,1,-,1,0,0,0,0,0
m6A_00394,chr1,182827254,182827255,1,+,1,0,0,0,0,0
m6A_00395,chr1,182852401,182852402,1,+,1,0,0,0,0,0
m6A_00396,chr1,183111686,183111687,1,+,1,0,0,0,0,0
